read,flagged,attachment,date,hour,size,sender,title,text
False,False,True,01/12/2020,10:29,1 MB,skspsikolojikdanismanlik,Farkındalık Seminerleri III-Depresyon,"Değerli İYTE'liler, Geçtiğimiz haftalarda ilk ikisini gerçekleştirdiğimiz Farkındalık Seminerleri dizimizin üçüncüsü Uzman Psikolojik Danışman Derya ..."
False,False,False,01/12/2020,01:34,10 KB,kariyer,Freshbak Mülakat Etkinliği hk. [Gıda Mühendisliği 4. sınıf öğrencilerinin dikkatine.] [Hatırlatma],"Değerli İYTE'liler, İYTE KARDES olarak düzenlenen kariyer etkinlikleri kapsamında Bakioğlu Holding şirketler grubundan Freshbak Firması ile ""Freshbak ..."
False,False,True,27/11/2020,21:22,2 MB,İYTE İnovasyon Topluluğu,İYTE İnovasyon Topluluğu Tanışma Toplantısı Hk.,"Merhabalar,     İYTE İnovasyon Topluluğu olarak tanışma toplantımızı online olarak gerçekleştireceğiz. Microsoft Teams uygulaması üzerinden yarın, 28 ..."
False,False,False,27/11/2020,16:33,31 KB,İYTE Mezunlar Ofisi,İYTE Mezunları Deneyimlerini Aktarıyor-3 Söyleşisi (Hatırlatma),"Sevgili Öğrenciler, İYTE Mezunlar Ofisi olarak İYTE Mezunları ve İYTE öğrencileri arasında etkileşimi güçlendirmek ve mezunlarımızın kariyer ..."
False,False,False,27/11/2020,13:14,45 KB,İYTE Kütüphane / IZTECH Library,Türk Edebiyatı ve Dünya Edebiyatı - Sayısal Kitap Abonelik / Turkish Literature and World Literature - Subscription to Sayisal Kitap,"Değerli İYTE'liler, Türkçe dijital kütüphane veri tabanı olan Sayısal Kitap 'ta yer alan Türk Edebiyatı ve Dünya Edebiyatı'ndan 1.139 elektronik ..."
False,False,False,27/11/2020,11:49,18 KB,ALİ VEREP,Teknofest Robotaksi Niyet Çağrısı,"Değerli İ YTE Ailesi, 3 senedir düzenlenen ve bu sene de İstanbul'da düzenlenecek olan Teknofest Fuar ı ’nın Robotaksi kategorisi için ekip ..."
False,False,True,26/11/2020,17:33,38 KB,Rektörlük,Dünya Bankası'ndan İYTE'ye Fon Desteği,"Değerli İYTE’liler, Dünya Bankası tarafından fonlanan, Enerji ve Tabii Kaynaklar Bakanlığı desteği ile Çevre Şehircilik Bakanlığı tarafından ..."
False,False,True,26/11/2020,15:44,12 MB,sks,İYTE Logolu Ürün Kataloğu,"Değerli İYTE'liler, Daire Başkanlığımız Taşınır Kayıt ve Kontrol Birimi tarafından satışı yapılmakta olan İYTE Logolu Ürünler ile ilgili katalog ekte ..."
False,False,True,25/11/2020,19:45,82 KB,Bilgisayar Mühendisliği Bölüm Sekreterliği,Fwd: staj ilanı hk.,"Bölüm öğrencilerimize duyurulur! Bilgilerinize İyi çalışmalar, Bölüm Sekreterliği İzmir Yüksek Teknoloji Enstitüsü Bilgisayar Mühendisliği Bölümü ..."
False,False,False,25/11/2020,16:19,21 KB,kariyer,FRESHBAK Kariyer Etkinliği hk. [Gıda Mühendisliği 2. ve 3. sınıf öğrencilerinin dikkatine] [Tarih Revize],"Değerli İYTE'liler, İYTE KARDES olarak düzenlenen kariyer etkinlikleri kapsamında Bakioğlu Holding şirketler grubundan Freshbak Firması ile ""Freshbak ..."
